1,2,3,4,5,unique-pepts,Seq-cover,name-prot,name-gene
18.659,17.8076,26.95,23.3434,21.4355,83,62.9,Ras GTPase-activating-like protein IQGAP1,IQGAP1
23.5782,22.9981,27.3955,26.575,25.7624,20,79.4,Fructose-bisphosphate aldolase A,ALDOA
26.5993,25.2753,NaN,19.0382,15.3037,45,35.9,Pappalysin-1,PAPPA
20.3444,19.5772,26.5868,25.9491,22.0781,31,66.9,T-complex protein 1 subunit zeta,CCT6A
27.8166,27.072,19.4943,20.6466,19.6624,22,25.6,Collagen alpha-1(III) chain,COL3A1
21.3782,22.4918,27.7398,26.418,25.3003,11,39.5,Basigin,BSG
22.8062,22.5289,28.1337,26.8439,24.7489,14,69.4,14-3-3 protein zeta/delta,YWHAZ
21.5732,20.9611,27.6378,26.2136,23.2349,23,59.5,Elongation factor 1-gamma,EEF1G
NaN,NaN,30.0628,28.4249,NaN,6,6.9,Cell division cycle and apoptosis regulator protein 1,CCAR1
21.1456,20.9643,26.9716,26.1034,23.3328,21,55.8,Annexin A4,ANXA4
22.0111,22.088,28.4385,25.9773,22.0198,10,55.6,"HLA class I histocompatibility antigen, A-3 alpha chain",HLA-A
25.8588,24.7567,23.063,21.5476,17.7652,101,29.8,Prolow-density lipoprotein receptor-related protein 1;Low-density lipoprotein receptor-related protein 1 85 kDa subunit;Low-density lipoprotein receptor-related protein 1 515 kDa subunit;Low-density lipoprotein receptor-related protein 1 intracellular domain,LRP1
19.6108,19.0661,26.7624,26.2418,22.9209,31,52.2,4F2 cell-surface antigen heavy chain,SLC3A2
22.2338,22.2072,27.5508,24.8143,23.6323,7,66.5,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,GNB2
25.9749,25.6262,24.9334,24.7972,20.1416,58,46.5,Laminin subunit gamma-1,LAMC1
27.8065,26.5692,16.8697,19.6449,15.8628,25,30,Collagen alpha-2(VI) chain,COL6A2
22.9406,22.9331,28.2147,25.186,23.3427,13,67,Guanine nucleotide-binding protein G(i) subunit alpha-2,GNAI2
20.4486,20.366,26.5229,24.1741,19.2325,45,48.1,Integrin alpha-6;Integrin alpha-6 heavy chain;Integrin alpha-6 light chain;Processed integrin alpha-6,ITGA6
25.6819,25.3043,26.3747,20.7091,20.9158,30,52,Transforming growth factor-beta-induced protein ig-h3,TGFBI
27.0936,25.5554,NaN,NaN,18.0806,16,39.4,Neuronal pentraxin-1,NPTX1
21.7518,21.6414,28.2875,25.9673,23.1878,6,59.8,Ras-related protein Rap-1b;Ras-related protein Rap-1b-like protein,RAP1B
21.0832,20.4276,27.279,24.5808,21.7449,19,43.1,Tumor susceptibility gene 101 protein,TSG101
27.2278,25.915,24.0884,21.5769,17.9007,9,36.2,Thrombospondin-1,THBS1
21.5,20.9969,27.9966,24.8385,22.5557,16,83,Chloride intracellular channel protein 1,CLIC1
17.5436,16.3644,26.3077,24.5015,23.2727,50,52.1,Vinculin,VCL
26.0599,25.0737,24.7752,26.4803,23.5264,14,64.1,Proteasome subunit alpha type-7,PSMA7
22.5777,22.1609,27.7743,25.5598,23.5438,2,65.8,Transforming protein RhoA,RHOA
23.27,22.6531,26.9402,26.3274,25.2572,15,64.3,Triosephosphate isomerase,TPI1
23.3847,22.2002,26.6023,23.6061,19.1995,35,56.8,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",PLOD1
24.1663,24.1658,28.7746,27.4241,27.0274,20,67.4,Rab GDP dissociation inhibitor beta,GDI2
23.6056,23.1315,23.529,23.7735,25.9401,90,32.5,Desmoplakin,DSP
NaN,NaN,29.6465,28.6971,NaN,17,38.1,Eukaryotic translation initiation factor 3 subunit L,EIF3L
NaN,NaN,25.8439,26.1006,22.0108,38,57.1,X-ray repair cross-complementing protein 5,XRCC5
20.01,19.873,26.3894,23.6793,18.3708,39,47.2,Integrin alpha-V;Integrin alpha-V heavy chain;Integrin alpha-V light chain,ITGAV
26.9358,25.8884,25.625,27.553,24.0544,17,64.6,Proteasome subunit alpha type-1,PSMA1
16.8867,17.5244,27.01,24.6738,22.2156,36,51.9,Stress-induced-phosphoprotein 1,STIP1
22.3561,22.2176,26.6588,26.0266,24.187,22,37.6,Annexin A11,ANXA11
25.4758,23.758,17.1041,16.8313,13.6533,113,46.5,Collagen alpha-3(VI) chain,COL6A3
17.5342,17.0746,26.7093,22.6263,21.4091,33,68.7,Glucose-6-phosphate 1-dehydrogenase,G6PD
18.9866,17.858,26.1039,24.8677,19.647,30,69.8,T-complex protein 1 subunit alpha,TCP1
16.0963,14.8121,25.46,22.2587,14.685,159,42.1,Cytoplasmic dynein 1 heavy chain 1,DYNC1H1
21.5355,22.1012,27.4909,25.593,24.7466,7,81.4,Profilin-1,PFN1
20.03,19.2967,25.2821,22.7571,20.1794,76,53.9,Talin-1,TLN1
15.4929,15.7905,26.1457,23.2787,18.0428,22,75.8,EH domain-containing protein 1,EHD1
19.6748,19.7494,28.4134,23.5477,17.9099,13,50.9,Serine protease 23,PRSS23
26.1307,25.6893,23.9084,22.0949,21.9344,20,56,Plasminogen activator inhibitor 1,SERPINE1
NaN,NaN,26.6994,27.3688,23.9465,16,65.9,Sodium/potassium-transporting ATPase subunit beta-3,ATP1B3
26.0516,24.7633,24.7011,26.1448,23.1933,13,60.2,Proteasome subunit beta type-1,PSMB1
19.3064,18.9655,27.5149,25.321,22.8986,25,65.8,RuvB-like 1,RUVBL1
16.4429,17.1727,26.615,24.0398,23.02,22,51.9,Ezrin,EZR
22.1067,21.6826,27.4003,24.6985,22.4287,7,43.5,Cell division control protein 42 homolog,CDC42
19.4158,18.2466,27.2822,28.564,24.1568,4,36.6,Protein S100-A4,S100A4
20.0417,20.0769,29.2021,23.9954,21.6084,6,26.3,CD9 antigen,CD9
NaN,NaN,NaN,NaN,NaN,2,3,Pre-rRNA-processing protein TSR1 homolog,TSR1
18.1522,16.44,26.6984,25.7388,21.0667,24,56.6,T-complex protein 1 subunit delta,CCT4
21.8273,21.9747,27.5088,26.0692,24.6764,14,66.5,Phosphoglycerate mutase 1,PGAM1
25.9396,24.5651,15.4207,NaN,14.3045,55,54.1,Peroxidasin homolog,PXDN
25.7765,25.3452,24.2495,26.0541,22.9885,13,65.4,Proteasome subunit alpha type-6,PSMA6
14.1635,13.6089,26.0733,24.2114,20.9629,36,49.8,Ubiquitin-like modifier-activating enzyme 1,UBA1
NaN,NaN,NaN,NaN,NaN,1,1.1,Integrin beta-6,ITGB6
18.2872,17.7333,25.01,24.3573,16.7681,94,40.3,Laminin subunit alpha-5,LAMA5
17.4656,16.6821,26.5635,21.6039,18.5477,38,67.1,Catenin alpha-1,CTNNA1
26.2322,25.758,27.8959,28.1296,25.3468,67,42.9,"Spectrin beta chain, non-erythrocytic 1",SPTBN1
18.5413,18.3306,25.2974,23.6076,21.3201,119,33.1,Plectin,PLEC
NaN,NaN,NaN,NaN,NaN,1,2.6,Serine/threonine-protein kinase RIO1,RIOK1
26.2938,25.282,16.3611,NaN,NaN,26,26.1,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D,SSC5D
19.5313,19.6543,26.6034,25.3483,23.0042,9,41.5,Nucleophosmin,NPM1
20.1268,19.2291,26.5321,22.9413,20.1805,40,38.5,CD109 antigen,CD109
20.6013,19.6934,24.3277,24.6903,20.7622,105,54.7,"Spectrin alpha chain, non-erythrocytic 1",SPTAN1
19.3732,18.9083,26.0804,24.0893,22.1438,31,70,RuvB-like 2,RUVBL2
21.1125,21.0843,26.4635,25.4544,23.804,6,75,Nucleoside diphosphate kinase B;Putative nucleoside diphosphate kinase,NME2;NME2P1
23.621,22.9565,25.3165,25.1642,23.723,27,44.5,78 kDa glucose-regulated protein,HSPA5
23.1065,22.5724,25.4831,23.6783,25.646,32,62,Junction plakoglobin,JUP
20.1347,20.6153,27.2949,24.6449,22.3302,3,50.5,Ras-related C3 botulinum toxin substrate 1,RAC1
20.4292,19.7878,26.7246,23.2667,19.519,25,39,Disintegrin and metalloproteinase domain-containing protein 10,ADAM10
21.8849,21.4791,27.5525,23.2638,21.6131,16,36.1,Clusterin;Clusterin beta chain;Clusterin alpha chain,CLU
NaN,NaN,29.1784,25.2197,22.6437,1,21.8,Putative heat shock protein HSP 90-beta 2,HSP90AB2P
22.0097,21.8131,27.1015,24.0523,23.6118,9,57.4,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,GNB1
20.194,20.1129,26.7738,25.6599,23.5355,19,63.6,L-lactate dehydrogenase A chain,LDHA
18.3266,17.679,26.615,25.7176,20.4896,31,73.5,T-complex protein 1 subunit eta,CCT7
21.0554,19.7123,28.4164,26.9113,24.301,8,62.9,"Barrier-to-autointegration factor;Barrier-to-autointegration factor, N-terminally processed",BANF1
21.3077,21.103,27.5818,25.8038,23.953,14,47.8,IST1 homolog,IST1
25.1045,24.3775,25.5336,16.2764,14.599,36,40.2,Nidogen-1,NID1
22.401,21.1358,27.0502,24.6635,22.837,14,49.1,GTP-binding nuclear protein Ran,RAN
NaN,NaN,29.2,27.6139,NaN,4,8.2,Uncharacterized protein C18orf8,C18orf8
17.2336,17.706,27.0357,23.0939,16.93,21,55.4,Fascin,FSCN1
NaN,NaN,26.1983,19.8566,15.3179,55,40.7,Integrin beta-4,ITGB4
25.6591,24.7755,24.0354,25.957,22.1849,13,73.9,Proteasome subunit alpha type-2,PSMA2
19.7622,19.0711,25.8746,21.7968,NaN,39,43.3,Voltage-dependent calcium channel subunit alpha-2/delta-1;Voltage-dependent calcium channel subunit alpha-2-1;Voltage-dependent calcium channel subunit delta-1,CACNA2D1
16.3214,NaN,26.298,23.4339,18.2119,35,58.2,Ephrin type-A receptor 2,EPHA2
26.2677,25.4141,24.8996,26.3199,23.7314,12,45.1,Proteasome subunit alpha type-3,PSMA3
22.0996,21.5301,24.4718,24.5039,20.4744,47,35.1,Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment,AGRN
21.2435,19.7951,28.3297,25.7064,21.5491,25,65.4,26S proteasome non-ATPase regulatory subunit 11,PSMD11
14.9989,14.7475,26.6734,19.736,18.5254,21,55.1,Radixin,RDX
25.8466,24.7091,24.5678,26.3853,22.6613,14,71.6,Proteasome subunit alpha type-4,PSMA4
20.8173,21.5291,28.0079,23.5318,22.4916,8,64.4,Tubulin beta-3 chain,TUBB3
21.6842,20.7454,25.8276,24.8424,19.2915,38,50.8,Neutral alpha-glucosidase AB,GANAB
17.9338,19.4238,26.9801,23.6956,21.9098,12,61,Glutathione S-transferase P,GSTP1
24.7418,23.8006,23.851,23.7652,16.4629,53,43.6,Laminin subunit beta-1,LAMB1
21.4118,21.3523,25.9984,24.3948,23.2706,15,72.9,Ras-related protein Rab-7a,RAB7A
25.0751,24.8057,NaN,15.2042,NaN,70,36.8,Fibrillin-1,FBN1
16.0365,15.6901,25.2972,23.1497,18.1109,60,53.2,Bifunctional glutamate/proline--tRNA ligase;Glutamate--tRNA ligase;Proline--tRNA ligase,EPRS
25.9119,25.6701,19.63,19.0824,NaN,11,39.7,Fibulin-1,FBLN1
21.0201,21.0727,27.1874,23.6208,22.1009,18,78.3,Chloride intracellular channel protein 4,CLIC4
24.6508,23.6311,24.0406,24.3238,26.1783,28,34.6,Desmoglein-1,DSG1
15.3894,13.8452,26.129,14.8245,15.533,28,45.4,Semaphorin-3C,SEMA3C
25.5973,23.877,NaN,NaN,NaN,89,36.5,Laminin subunit alpha-2,LAMA2
24.8729,23.5197,24.1902,24.6832,26.1548,7,63.2,Protein S100-A9,S100A9
26.3379,24.9446,NaN,23.0077,NaN,16,53.4,Hyaluronan and proteoglycan link protein 1,HAPLN1
19.1376,19.336,26.2447,20.644,17.6729,29,39.3,Inactive tyrosine-protein kinase 7,PTK7
18.6416,17.1268,25.3463,22.8542,18.9379,44,49.3,ATP-citrate synthase,ACLY
12.9998,13.607,24.9733,21.9305,18.2531,79,48.8,Myoferlin,MYOF
17.531,14.9236,26.1898,23.8006,20.9973,33,73.5,Bifunctional purine biosynthesis protein PURH;Phosphoribosylaminoimidazolecarboxamide formyltransferase;IMP cyclohydrolase,ATIC
NaN,NaN,25.8262,22.0999,17.8485,37,43.4,Epidermal growth factor receptor,EGFR
25.2733,24.3848,23.8691,NaN,16.2837,34,64.5,72 kDa type IV collagenase;PEX,MMP2
19.2514,19.1168,26.7903,25.1154,22.3639,7,39.3,Charged multivesicular body protein 4b,CHMP4B
19.3727,18.3338,24.9115,25.9755,25.7073,8,52.7,"Single-stranded DNA-binding protein, mitochondrial",SSBP1
16.2684,16.7229,24.6203,21.288,19.9026,57,47,Plexin-B2,PLXNB2
NaN,NaN,28.111,25.0757,22.8478,3,29.4,High mobility group protein HMGI-C,HMGA2
18.8826,16.1409,26.3897,25.4044,23.3813,15,63.4,40S ribosomal protein SA,RPSA
18.2067,NaN,26.3353,24.5816,19.6424,12,50.2,60S ribosomal protein L5,RPL5
23.0958,23.5965,27.9151,24.4512,23.5946,4,45.8,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12,GNG12
21.6227,20.8589,25.8951,24.3397,21.9206,20,60.8,Actin-related protein 3,ACTR3
20.2669,19.9076,25.968,24.4555,22.2322,19,78.5,"Guanine nucleotide-binding protein subunit beta-2-like 1;Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed",GNB2L1
20.7397,19.8657,26.2056,24.0473,21.571,15,64.2,40S ribosomal protein S3,RPS3
21.4708,21.4413,26.3682,23.966,22.91,12,57.8,Ras-related protein Rab-11B;Ras-related protein Rab-11A,RAB11B;RAB11A
19.699,19.4896,24.3056,25.0862,22.8656,28,64,Transketolase,TKT
17.2234,16.827,26.4807,21.4645,15.873,16,33.1,Intercellular adhesion molecule 1,ICAM1
18.9125,18.6403,25.6969,24.9939,23.3962,19,74.6,Peroxiredoxin-6,PRDX6
18.0293,17.6561,27.012,25.2861,22.5762,7,42,Charged multivesicular body protein 5,CHMP5
20.7055,20.1766,26.3616,24.2746,18.2929,25,41.4,Integrin beta-5,ITGB5
17.4787,17.7156,25.4175,25.3448,22.3508,24,58.9,Adenylyl cyclase-associated protein 1,CAP1
22.0357,21.0131,24.8563,23.8584,23.0496,32,67.5,Alpha-actinin-1,ACTN1
17.2006,16.5227,25.4878,23.234,17.6283,24,45.4,"Glycogen phosphorylase, brain form",PYGB
15.1075,15.1981,26.4231,23.2101,16.7161,34,46.5,26S proteasome non-ATPase regulatory subunit 2,PSMD2
20.245,19.764,26.2188,23.8473,22.4034,15,31.4,Annexin A7,ANXA7
NaN,NaN,25.7558,21.9749,17.3927,40,34.9,Multidrug resistance-associated protein 1,ABCC1
16.1431,NaN,24.7929,25.0005,23.9202,18,28,Nucleolin,NCL
20.4304,20.4636,27.0543,24.1365,22.6511,4,49,Ras-related protein Ral-B,RALB
18.1307,16.5334,25.6906,23.6275,21.1724,17,54.8,"40S ribosomal protein S4, X isoform",RPS4X
20.3849,19.5967,26.2858,23.8252,21.5673,6,64.1,ADP-ribosylation factor 3;ADP-ribosylation factor 1,ARF3;ARF1
16.6937,NaN,25.7816,23.4922,17.5312,18,49.3,Immunoglobulin superfamily member 8,IGSF8
16.6042,15.3672,25.7513,24.5228,20.2173,16,54.9,40S ribosomal protein S3a,RPS3A
20.8361,NaN,24.8642,21.8218,20.7911,44,38.3,Plexin-A1,PLXNA1
NaN,NaN,28.6721,23.5091,19.7016,21,46.6,Signal recognition particle subunit SRP72,SRP72
NaN,NaN,NaN,NaN,NaN,1,2.8,Probable Xaa-Pro aminopeptidase 3,XPNPEP3
27.4558,23.4419,NaN,NaN,NaN,2,0.4,Mucin-19,MUC19
18.5754,16.6854,25.8897,24.3056,22.5489,17,50.7,Heterogeneous nuclear ribonucleoproteins A2/B1,HNRNPA2B1
20.1743,20.4129,27.0071,24.5066,21.8484,5,57.9,Tubulin beta chain,TUBB
25.4292,24.6905,NaN,NaN,NaN,17,53.2,Procollagen C-endopeptidase enhancer 1,PCOLCE
NaN,NaN,26.3071,18.8554,18.0324,17,54.6,von Willebrand factor A domain-containing protein 1,VWA1
24.7778,24.2651,24.05,25.9623,22.3035,12,61,Proteasome subunit beta type-3,PSMB3
NaN,NaN,27.0113,27.0452,21.776,3,60.3,"GTPase KRas;GTPase KRas, N-terminally processed",KRAS
16.1368,17.9464,26.0014,24.7545,23.0367,11,36.6,Heterogeneous nuclear ribonucleoproteins C1/C2;Heterogeneous nuclear ribonucleoprotein C-like 1;Heterogeneous nuclear ribonucleoprotein C-like 3;Heterogeneous nuclear ribonucleoprotein C-like 2;Heterogeneous nuclear ribonucleoprotein C-like 4,HNRNPC;HNRNPCL1;HNRNPCL3;HNRNPCL2;HNRNPCL4
21.5699,20.7752,25.3995,24.8549,24.3848,13,79.7,Phosphatidylethanolamine-binding protein 1;Hippocampal cholinergic neurostimulating peptide,PEBP1
17.9016,NaN,27.0829,22.9874,20.2473,6,23,Retinoic acid-induced protein 3,GPRC5A
22.8006,22.907,26.899,24.7469,23.7804,7,69.9,Cofilin-2,CFL2
17.3523,18.3988,26.075,24.8447,20.7868,3,75.1,"GTPase HRas;GTPase HRas, N-terminally processed",HRAS
22.2151,22.3006,27.1497,24.3498,23.6047,4,62.2,Ras-related protein Rab-1B,RAB1B
21.2001,21.8129,26.4095,24.9914,22.228,8,63,Destrin,DSTN
20.9432,20.8358,26.8114,22.9471,21.5953,8,55.5,Ras-related protein R-Ras,RRAS
19.8553,NaN,23.5522,23.2933,24.2128,35,54.8,Prelamin-A/C;Lamin-A/C,LMNA
18.7709,19.3008,26.2335,22.5067,19.0858,10,62.3,Rho-related GTP-binding protein RhoG,RHOG
24.0977,23.941,26.011,24.806,22.1093,15,40,Glypican-1;Secreted glypican-1,GPC1
16.4748,17.2638,25.8921,22.2019,19.2159,23,32.1,Heterogeneous nuclear ribonucleoprotein U,HNRNPU
12.8544,12.4565,22.8681,24.2411,14.5642,49,49.4,Tripeptidyl-peptidase 2,TPP2
17.8403,15.6459,24.0928,25.9179,21.6008,17,55.2,Casein kinase II subunit alpha;Casein kinase II subunit alpha 3,CSNK2A1;CSNK2A3
NaN,16.1691,26.9833,24.1476,18.7132,25,73.3,UDP-glucose 6-dehydrogenase,UGDH
22.3677,21.7694,25.16,23.859,23.7935,17,51.5,Cathepsin D;Cathepsin D light chain;Cathepsin D heavy chain,CTSD
25.0062,23.806,27.5099,26.4586,25.8848,4,43.8,Ras-related protein Rab-6A,RAB6A
19.4826,20.508,26.5506,24.6768,22.2096,9,25.7,Hsc70-interacting protein;Putative protein FAM10A4;Putative protein FAM10A5,ST13;ST13P4;ST13P5
